spanish_word,english_translation
que,that
no,No
a,to
de,of
la,the
y,and
me,I
es,is
lo,it
qué,that
el,he
en,in
por,by
se,HE
con,with
un,a
ya,already
para,for
mi,my
una,a
está,this
los,the
si,Yeah
las,the
más,further
del,of the
yo,I
pero,but
le,you
eso,that
todo,all
como,as
muy,very
su,his
o,either
al,to the
así,So
esta,this
son,are
te,tea
bien,good
porque,because
nada,nothing
sé,HE
hacer,do
tiene,has
hay,there is
ahora,now
ser,be
mucho,a lot
cuando,when
también,also
vez,time
sí,Yeah
nos,us
ver,see
esto,this
este,this
algo,something
ese,that
ahí,there
mejor,better
dos,two
cómo,as
vamos,come on
tengo,I have
esa,that
tiempo,time
día,day
voy,go
bueno,Well
fue,was
puede,can
todos,all
era,was
hace,does
les,them
va,goes
pasa,happens
siempre,always
otra,other
uno,one
estoy,I'm
quiero,wanna
estar,be
están,are
hasta,until
estaba,was
sin,without
gracias,thank you
él,he
quién,who
vida,life
dónde,where
cosas,things
creo,believe
tenemos,have
otro,other
aquí,here
mí,my
ni,neither
solo,only
nunca,never
verdad,TRUE
nosotros,us
tres,three
estás,are
puedo,I can
ir,go
tener,have
tu,you
gente,people
decir,say
estamos,we are
mis,my
soy,am
entonces,so
casa,home
después,after
poco,bit
favor,favor
tan,so
nadie,nobody
antes,before
años,years
vas,you go
van,go
mismo,same
hoy,today
desde,from
quiere,wants
sus,their
toda,all
cosa,stuff
sea,be
momento,moment
menos,less
cuenta,account
da,gives
ella,she
claro,clear
mañana,tomorrow
días,days
unos,some
sabe,knows
dije,said
dice,says
tenía,had
ha,ha
hablar,talk
parece,seems
gusta,like
alguien,someone
quería,wanted to
muchas,many
donde,where
había,there was
mundo,world
tanto,so much
pasó,passed
salir,go out
veces,times
viene,comes
todas,all
dar,give
tal,such
hecho,made
pasar,pass
noche,evening
igual,equal
estos,these
cada,each
haciendo,doing
iba,I was going
hombre,man
saber,know
podemos,can
tienen,have
tú,you
hola,hello
madre,mother
trabajo,job
fuera,out
mira,look
dijo,said
digo,say
tus,your
buena,good
seguro,sure
mal,evil
ellos,they
casi,almost
entre,between
conmigo,with me
único,only
veo,I see
hora,hour
cinco,five
siento,I feel
dejar,leave
todavía,still
haber,to have
falta,lack
hijo,son
ve,go
tampoco,neither
parte,part
llegar,arrive
cuatro,four
eh,Hey
sabes,You know
he,I have
venir,come
somos,are
ah,oh
familia,family
esos,those
hago,do
unas,nails
queda,is left over
buen,good
además,besides
luego,then
ven,come
tarde,late
buenas,hello good
primero,first
señor,Sir
lugar,place
nuestro,our
sabía,knew
pues,well
primera,first
sobre,about
ves,you see
usted,you
amor,love
cualquier,any
nuestra,our
tienes,have
necesito,need
allá,there
dios,God
importante,important
ay,Oh
sido,been
eres,are
mujer,women
venga,come on
han,they have
vaya,Oh
estas,are
mamá,mother
cara,expensive
lado,side
cabeza,head
llama,calls
quieres,want
padre,father
mano,hand
papá,dad
perdón,sorry
problema,problem
poder,can
pasado,past
cuidado,careful
dicen,they say
ti,you
ustedes,you
volver,return
mucha,a lot
nombre,name
nuevo,new
idea,idea
caso,case
visto,seen
algún,some
horas,hours
esas,those
estado,state
tomar,take
cuál,which
cuánto,how much
hablando,talking
miedo,fear
vi,saw
alguna,some
hizo,did
dicho,saying
acuerdo,agreement
aunque,although
hacemos,we make
grande,big
puedes,can
razón,reason
mío,mine
cuándo,when
buenos,good
importa,matters
amigo,friend
ningún,none
pueden,they can
deja,leaves
amigos,friends
serio,Serious
haces,you do
puerta,door
hacen,do
persona,person
poner,put
fui,I was
vivir,live
fin,end
arriba,above
año,year
entiendo,I understand
pensar,think
gran,great
hice,I did
quieren,they want
muchos,many
vale,OK
será,be
tipo,guy
debe,has to
has,you have
seguir,continue
dio,gave
difícil,difficult
vino,came
agua,water
espera,wait
final,final
toma,take
diez,ten
contigo,with you
dinero,money
quedar,meet
medio,half
acá,here
manera,manner
hubiera,had
hemos,we have
llevo,he took
haga,make
poquito,a little
adelante,forward
buscar,look for
podía,could
juntos,together
fácil,easy
eran,were
oye,hey
sigue,go on
sería,I would be
